# started 2026-09-21 14:18:28  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 26316 7390 8945 
# p6max=3513600 p0max=2918400 cfb=0
# node=0:2918400 1:2918400 2:2918400 3:2918400 4:2918400 5:2918400 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789993228|1152000|1152000|1152000|1152000|2918400|2918400|3513600|3513600|2918400|3513600|69500|26400|0|no
1789993229|960000|960000|2918400|2918400|2918400|2227200|1017600|1017600|2918400|3513600|41300|26400|0|no
1789993230|960000|2745600|2918400|2745600|2918400|2918400|1017600|1017600|2918400|3513600|39700|26400|0|no
1789993230|960000|960000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|38600|26400|0|no
1789993231|2400000|2227200|2227200|2227200|1555200|1555200|1017600|1017600|2918400|3513600|37400|26400|0|no
1789993232|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37400|26400|0|no
1789993232|2400000|2400000|2400000|2745600|2400000|2918400|1017600|1017600|2918400|3513600|37000|26400|0|no
1789993233|960000|748800|960000|960000|1363200|2918400|1017600|1017600|2918400|3513600|36600|26400|0|no
1789993234|1152000|1152000|1152000|1152000|1152000|1152000|3513600|3513600|2918400|3513600|54800|26400|0|no
1789993234|1152000|1152000|1363200|1363200|1555200|1555200|3513600|3513600|2918400|3513600|68700|26400|0|no
1789993235|1363200|1555200|1555200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|63300|26400|0|no
1789993236|2918400|2918400|2745600|2745600|2745600|2745600|3513600|3513600|2918400|3513600|81800|26400|0|no
1789993236|1363200|1363200|1363200|1363200|1363200|1363200|1017600|1017600|2918400|3513600|47500|26400|0|no
1789993237|2918400|2918400|2918400|2918400|2918400|2918400|1017600|1017600|2918400|3513600|40500|26400|0|no
1789993237|2400000|2400000|2918400|2918400|2918400|2918400|1017600|1017600|2918400|3513600|39300|26400|0|no
1789993238|1785600|1785600|1363200|1363200|1363200|1363200|1017600|1017600|2918400|3513600|37800|26300|0|no
1789993239|2400000|2400000|1555200|1555200|1152000|960000|1017600|1017600|2918400|3513600|37400|26300|0|no
1789993239|2400000|2400000|2400000|2227200|2227200|2400000|1017600|1017600|2918400|3513600|36600|26300|0|no
1789993240|2400000|2400000|1996800|1996800|1996800|1996800|1017600|1017600|2918400|3513600|36300|26300|0|no
1789993241|960000|960000|960000|2400000|2400000|1555200|1017600|1017600|2918400|3513600|36300|26300|0|no
1789993241|1152000|2918400|2918400|2918400|2918400|2400000|3513600|3513600|2918400|3513600|57900|26300|0|no
1789993242|1363200|1152000|1363200|1363200|1152000|2918400|3513600|3513600|2918400|3513600|63700|26300|0|no
1789993243|1785600|1785600|1785600|1363200|1152000|1152000|3513600|3513600|2918400|3513600|65600|26300|0|no
1789993243|1152000|1152000|1152000|2918400|2918400|2918400|3513600|3513600|2918400|3513600|59000|26300|0|no
1789993244|1363200|1363200|2918400|2918400|2918400|2918400|1017600|1017600|2918400|3513600|39700|26300|0|no
1789993244|748800|960000|2400000|2918400|2918400|2918400|1017600|1017600|2918400|3513600|38600|26300|0|no
1789993245|960000|960000|2400000|2918400|2918400|2745600|1017600|1017600|2918400|3513600|37400|26300|0|no
1789993246|2400000|2400000|1555200|1555200|1363200|1363200|1017600|1017600|2918400|3513600|36600|26300|0|no
1789993246|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|36300|26300|0|no
1789993247|748800|2400000|2400000|1785600|1785600|1785600|1017600|1017600|2918400|3513600|35900|26300|0|no
1789993248|1363200|1363200|1785600|1785600|2918400|2918400|1017600|1017600|2918400|3513600|35900|26200|0|no
1789993248|1152000|1152000|1152000|1152000|2918400|2918400|3513600|3513600|2918400|3513600|58300|26200|0|no
1789993249|2918400|2918400|2918400|2918400|2227200|2227200|3513600|3513600|2918400|3513600|48200|26200|0|no
1789993250|1363200|1363200|2918400|2918400|2918400|2745600|3513600|3513600|2918400|3513600|59400|26200|0|no
1789993250|1363200|1152000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|60600|26200|0|no
1789993251|1152000|1152000|1152000|2918400|2918400|2918400|3513600|3513600|2918400|3513600|60600|26200|0|no
1789993251|2918400|2918400|2918400|1785600|1785600|2918400|3513600|3513600|2918400|3513600|60600|26200|0|no
1789993252|1363200|2918400|2918400|2918400|1785600|1785600|3513600|3513600|2918400|3513600|60600|26200|0|no
1789993253|2918400|2918400|2918400|2745600|2745600|2745600|3513600|3513600|2918400|3513600|61400|26200|0|no
1789993253|1363200|1363200|1363200|1152000|1152000|1152000|3513600|3513600|2918400|3513600|61400|26200|0|no
1789993254|1152000|1152000|1152000|2918400|2918400|2918400|3513600|3513600|2918400|3513600|62500|26200|0|no
1789993255|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|62500|26200|0|no
1789993255|1363200|1363200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|62100|26200|0|no
1789993256|1152000|1152000|1152000|1152000|1152000|1152000|3513600|3513600|2918400|3513600|62100|26200|0|no
