# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163858|level=2 held=no cfb=0 prime=|1017600|1017600|2400000|3801600|36600|no
1787163859|level=2 held=no cfb=0 prime=|1017600|1017600|1996800|4320000|33600|no
1787163859|level=2 held=no cfb=0 prime=|3801600|3801600|2227200|3801600|42000|no
1787163860|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|39300|no
1787163860|level=2 held=yes cfb=0 prime|3801600|3801600|2227200|3801600|39700|no
1787163861|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|50500|no
1787163862|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|64800|no
1787163862|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|72600|no
1787163863|level=2 held=yes cfb=0 prime|3801600|3801600|1555200|3801600|65600|no
1787163863|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|72600|no
1787163864|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|68300|no
1787163864|level=2 held=yes cfb=0 prime|3801600|3801600|1363200|3801600|72900|no
1787163865|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|71400|no
1787163865|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|72900|no
1787163866|level=2 held=yes cfb=0 prime|3801600|3801600|2227200|3801600|71800|no
1787163867|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|42400|no
1787163867|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|38200|no
1787163868|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|35900|no
1787163868|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|35100|no
1787163869|level=2 held=yes cfb=0 prime|1017600|1017600|1363200|3801600|34300|no
1787163869|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33900|no
1787163870|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33900|no
1787163871|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33600|no
1787163871|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|33900|no
1787163872|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|58300|no
1787163872|level=2 held=yes cfb=0 prime|3801600|3801600|1555200|3801600|59000|no
1787163873|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|57900|no
1787163873|level=2 held=yes cfb=0 prime|3801600|3801600|1555200|3801600|60200|no
1787163874|level=2 held=yes cfb=0 prime|3801600|3801600|1785600|3801600|62100|no
1787163875|level=2 held=yes cfb=0 prime|3801600|3801600|2400000|3801600|62100|no
1787163875|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|61400|no
1787163876|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|63300|no
1787163876|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|63700|no
1787163877|level=2 held=yes cfb=0 prime|3801600|3801600|2227200|3801600|61700|no
1787163878|level=2 held=yes cfb=0 prime|3801600|3801600|1996800|3801600|63300|no
1787163878|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|52500|no
1787163879|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|52100|no
1787163879|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|52500|no
1787163880|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|52900|no
1787163880|level=2 held=yes cfb=0 prime|3801600|3801600|1785600|3801600|52900|no
1787163881|level=2 held=yes cfb=0 prime|1017600|1017600|960000|3801600|39300|no
1787163882|level=2 held=yes cfb=0 prime|1017600|1017600|1363200|3801600|37800|no
1787163882|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|36600|no
1787163883|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|35900|no
1787163883|level=2 held=yes cfb=0 prime|1017600|1017600|1363200|3801600|34700|no
1787163884|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|34700|no
1787163885|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|34300|no
1787163885|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33900|no
1787163886|level=2 held=yes cfb=0 prime|3801600|3801600|2400000|3801600|62900|no
1787163886|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|66800|no
1787163887|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|66400|no
1787163888|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|68700|no
1787163888|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|75300|no
1787163889|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|74900|no
1787163889|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|40500|no
1787163890|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|37800|no
1787163890|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|36600|no
1787163891|level=2 held=yes cfb=0 prime|1017600|1017600|1152000|3801600|35500|no
1787163892|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|35100|no
1787163892|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|34700|no
1787163893|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|34700|no
1787163893|level=2 held=yes cfb=0 prime|1017600|1017600|960000|3801600|33900|no
1787163894|level=2 held=yes cfb=0 prime|3801600|3801600|1785600|3801600|60600|no
1787163895|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|66000|no
1787163895|level=2 held=yes cfb=0 prime|3801600|3801600|1363200|3801600|67900|no
1787163896|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|69100|no
1787163896|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|70600|no
1787163897|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|64800|no
1787163898|level=2 held=yes cfb=0 prime|1017600|1017600|960000|3801600|38600|no
1787163898|level=2 held=yes cfb=0 prime|1017600|1017600|1152000|3801600|36600|no
1787163899|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|35900|no
1787163899|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|35100|no
1787163900|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|34700|no
1787163901|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|34700|no
1787163901|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|33900|no
